crop,farm_size_ha,province,district,ward,planting_date,planting_month,yield_tonnes_per_ha,rainfall_planting_month,rainfall_1_month_before,rainfall_2_months_before,rainfall_3_months_before,rainfall_preplant_3m_total,rainfall_preplant_3m_mean,preplant_rain_months_available,soil_ph,soil_organic_carbon_g_kg,soil_nitrogen_g_kg,soil_clay_percent,soil_sand_percent,soil_silt_percent,ndvi_preplant_mean,ndvi_preplant_max,ndvi_preplant_min,ndvi_preplant_std,ndvi_preplant_median,ndvi_preplant_first,ndvi_preplant_last,ndvi_preplant_observations,ndvi_preplant_change
 Maize(for grain),1.0,Western,Nkeyema,LOMBELOMBE,2024-11-01,11,0.2875,60.0211181640625,19.087081909179688,,,,,1,6.0,15.5,0.9,18.6,69.1,12.3,0.3500333333333333,0.4248,0.2984,0.0662993464020071,0.3269,0.2984,0.4248,3,0.1264
 Maize(for grain),0.5,North Western,Solwezi,KYALALANKUBA,2024-11-01,11,2.3,139.59246826171875,41.773658752441406,,,,,1,5.4,23.5,1.58,38.4,34.5,27.0,0.7119,0.7481,0.6653,0.0423683844393434,0.7223,0.6653,0.7223,3,0.057
 Maize(for grain),0.25,Luapula,Chiengi,LUNCHINDA,2024-11-01,11,0.0,151.20639038085938,60.51069259643555,,,,,1,,,,,,,0.0092666666666666,0.3141,-0.1781,0.2662968706788222,-0.1082,-0.1082,0.3141,3,0.4223
 Maize(for grain),0.375,Luapula,Nchelenge,KATOFYO,2024-12-01,12,2.3000000000000003,200.62164306640625,135.97988891601562,95.00704193115234,,,,2,,,,,,,0.055,0.0631,0.0469,0.011455129855222,0.055,0.0469,0.0631,2,0.0162
 Soya beans (for grain),0.81,Eastern,Lundazi,LUNEVWA,2024-11-01,11,0.3032098765432098,83.4857177734375,41.46825408935547,,,,,1,6.1,18.4,1.21,17.8,74.1,8.1,0.2034,0.2068,0.2005,0.0031796226191169,0.2029,0.2005,0.2068,3,0.0063
 Maize(for grain),1.0,North Western,Mufumbwe,MATUSHI,2024-11-01,11,0.4025,82.95779418945312,23.927698135375977,,,,,1,5.9,24.1,1.96,28.3,44.4,27.2,0.3656333333333333,0.4083,0.3213,0.0435239397726508,0.3673,0.3213,0.4083,3,0.087
 Groundnuts(unshelled),0.25,North Western,Mufumbwe,MATUSHI,2024-11-01,11,0.256,82.95779418945312,23.927698135375977,,,,,1,5.9,24.1,1.96,28.3,44.4,27.2,0.3656333333333333,0.4083,0.3213,0.0435239397726508,0.3673,0.3213,0.4083,3,0.087
 Maize(for grain),0.75,Northern,Kasama,JULIA CHIKAMONEKA,2024-11-01,11,3.8333333333333335,95.09349060058594,36.48351287841797,,,,,1,5.6,18.7,1.19,19.8,68.0,12.1,0.7077666666666667,0.757,0.6737,0.0436719971301214,0.6926,0.6737,0.757,3,0.0833
 Groundnuts(unshelled),0.125,Northern,Kasama,JULIA CHIKAMONEKA,2024-11-01,11,0.768,95.09349060058594,36.48351287841797,,,,,1,5.6,18.7,1.19,19.8,68.0,12.1,0.7077666666666667,0.757,0.6737,0.0436719971301214,0.6926,0.6737,0.757,3,0.0833
 Maize(for grain),0.405,Southern,Zimba,SIMWATACHELA,2024-11-01,11,0.8518518518518517,35.61693572998047,5.979544162750244,,,,,1,6.1,14.9,1.11,21.0,55.2,23.9,0.3293333333333333,0.3631,0.3052,0.0301281153299261,0.3197,0.3052,0.3631,3,0.0578999999999999
 Maize(for grain),1.0,Southern,Zimba,SIMWATACHELA,2024-12-01,12,0.46,100.22216033935548,35.61693572998047,5.979544162750244,,,,2,6.1,14.9,1.11,21.0,55.2,23.9,0.335225,0.3631,0.3052,0.0272760426015211,0.3363,0.3052,0.3529,4,0.0476999999999999
 Sunflower (for grain),0.81,Southern,Zimba,SIMWATACHELA,2025-01-01,1,0.0342962962962963,223.04931640625,100.22216033935548,35.61693572998047,5.979544162750244,141.81864023208618,47.27288007736206,3,6.1,14.9,1.11,21.0,55.2,23.9,0.3986833333333333,0.5294,0.3052,0.1005826509228438,0.358,0.3052,0.5294,6,0.2241999999999999
