crop,farm_size_ha,province,district,ward,planting_date,planting_month,yield_tonnes_per_ha,rainfall_planting_month,rainfall_1_month_before,rainfall_2_months_before,rainfall_3_months_before,rainfall_preplant_3m_total,rainfall_preplant_3m_mean,preplant_rain_months_available,soil_ph,soil_organic_carbon_g_kg,soil_nitrogen_g_kg,soil_clay_percent,soil_sand_percent,soil_silt_percent,ndvi_preplant_mean,ndvi_preplant_max,ndvi_preplant_min,ndvi_preplant_std,ndvi_preplant_median,ndvi_preplant_first,ndvi_preplant_last,ndvi_preplant_observations,ndvi_preplant_change
 Maize(for grain),0.75,Copperbelt,Luanshya,BUNTUNGWA,2024-10-01,10,2.3000000000000003,48.82448196411133,,,,,,0,5.6,42.2,,20.3,,27.1,0.3041,0.3041,0.3041,0.0,0.3041,0.3041,0.3041,1,0.0
 Maize(for grain),0.5,Southern,Gwembe,JUMBO SOMPANI,2024-11-01,11,0.0,36.31627655029297,10.43460464477539,,,,,1,6.5,18.1,1.32,17.8,62.2,20.0,0.254,0.3039,0.2266,0.0432840617317737,0.2315,0.2266,0.2315,3,0.0049
 Mixed Beans (for grain),0.5,Southern,Gwembe,JUMBO SOMPANI,2024-12-01,12,0.0,80.16019439697266,36.31627655029297,10.43460464477539,,,,2,6.5,18.1,1.32,17.8,62.2,20.0,0.25205,0.3039,0.2266,0.0355558246517594,0.23885,0.2266,0.2462,4,0.0196
 Sunflower (for grain),0.5,Southern,Gwembe,JUMBO SOMPANI,2024-12-01,12,0.0,80.16019439697266,36.31627655029297,10.43460464477539,,,,2,6.5,18.1,1.32,17.8,62.2,20.0,0.25205,0.3039,0.2266,0.0355558246517594,0.23885,0.2266,0.2462,4,0.0196
 Groundnuts(unshelled),1.0,Southern,Gwembe,JUMBO SOMPANI,2024-12-01,12,0.0,80.16019439697266,36.31627655029297,10.43460464477539,,,,2,6.5,18.1,1.32,17.8,62.2,20.0,0.25205,0.3039,0.2266,0.0355558246517594,0.23885,0.2266,0.2462,4,0.0196
 Sorghum(seed),0.25,Southern,Gwembe,JUMBO SOMPANI,2024-10-01,10,0.92,10.43460464477539,,,,,,0,6.5,18.1,1.32,17.8,62.2,20.0,0.2266,0.2266,0.2266,0.0,0.2266,0.2266,0.2266,1,0.0
 Maize(for grain),1.5,Central,Serenje,KASHISHI,2024-12-01,12,3.0666666666666664,79.06281280517578,82.94314575195312,16.214736938476562,,,,2,6.0,15.5,1.16,17.6,67.4,15.0,0.41795,0.5087,0.3239,0.0764952939728974,0.4196,0.3239,0.5087,4,0.1848
 Soya beans (for grain),0.5,Central,Serenje,KASHISHI,2024-11-01,11,1.37536,82.94314575195312,16.214736938476562,,,,,1,6.0,15.5,1.16,17.6,67.4,15.0,0.3877,0.4349,0.3239,0.0573316666424411,0.4043,0.3239,0.4043,3,0.0803999999999999
 Maize(for grain),2.0,Eastern,Chasefu,MAGODI,2024-12-01,12,0.575,87.7835693359375,77.0934066772461,38.38622283935547,,,,2,6.0,12.8,1.19,19.7,72.4,7.9,0.442275,0.528,0.3445,0.0788251387566175,0.4483,0.3445,0.4771,4,0.1326
 Sunflower (for grain),0.405,Eastern,Chasefu,MAGODI,2025-01-01,1,1.028888888888889,241.72137451171875,87.7835693359375,77.0934066772461,38.38622283935547,203.26319885253903,67.75439961751302,3,6.0,12.8,1.19,19.7,72.4,7.9,0.4921,0.6196,0.3445,0.0999818183471375,0.50255,0.3445,0.5639,6,0.2193999999999999
